MCS,Cell_ID,Cell_TarVol,Cell_Vol,Cell_TarSur,Cell_Sur
0,2472,49.0,48,0.0,40.0
0,2473,144.0,144,0.0,50.0
0,2474,145.0,144,0.0,64.0
0,2475,99.0,99,0.0,52.0
0,2476,199.0,198,0.0,66.0
0,2477,120.0,120,0.0,48.0
0,2478,162.0,161,0.0,56.0
0,2479,135.0,135,0.0,52.0
0,2480,121.0,121,0.0,52.0
0,2481,117.0,118,0.0,46.0
0,2482,125.0,127,0.0,50.0
0,2483,144.0,144,0.0,56.0
0,2484,75.0,73,0.0,38.0
0,2485,121.0,121,0.0,54.0
0,2486,114.0,114,0.0,50.0
0,2487,112.0,112,0.0,46.0
0,2488,105.0,106,0.0,48.0
0,2489,157.0,157,0.0,60.0
0,2490,156.0,156,0.0,66.0
0,2491,88.0,87,0.0,44.0
0,2492,84.0,85,0.0,44.0
0,2493,114.0,113,0.0,52.0
0,2494,251.0,251,0.0,74.0
0,2495,105.0,107,0.0,54.0
0,2496,99.0,99,0.0,46.0
0,2497,94.0,95,0.0,44.0
0,2498,264.0,264,0.0,76.0
0,2499,128.0,127,0.0,52.0
0,2500,124.0,125,0.0,52.0
0,2501,92.0,93,0.0,44.0
0,2502,146.0,147,0.0,54.0
0,2503,111.0,112,0.0,52.0
0,2504,112.0,111,0.0,54.0
0,2505,94.0,95,0.0,48.0
0,2506,64.0,65,0.0,42.0
0,2507,132.0,133,0.0,54.0
0,2508,78.0,78,0.0,48.0
0,2509,114.0,113,0.0,44.0
0,2510,156.0,157,0.0,54.0
0,2511,97.0,96,0.0,46.0
0,2512,156.0,155,0.0,60.0
0,2513,49.0,48,0.0,28.0
0,2514,143.0,143,0.0,54.0
0,2515,131.0,132,0.0,48.0
0,2516,128.0,126,0.0,48.0
0,2517,156.0,157,0.0,56.0
0,2518,293.0,293,0.0,82.0
0,2519,145.0,145,0.0,58.0
0,2520,112.0,112,0.0,46.0
0,2521,118.0,118,0.0,54.0
0,2522,87.0,88,0.0,40.0
0,2523,78.0,78,0.0,58.0
0,2524,90.0,89,0.0,42.0
0,2525,179.0,179,0.0,64.0
0,2526,104.0,104,0.0,52.0
0,2527,128.0,128,0.0,52.0
0,2528,313.0,313,0.0,82.0
0,2529,129.0,130,0.0,50.0
0,2530,132.0,132,0.0,46.0
0,2531,114.0,114,0.0,46.0
0,2532,94.0,95,0.0,42.0
0,2533,120.0,120,0.0,46.0
0,2534,120.0,120,0.0,46.0
0,2535,91.0,92,0.0,46.0
0,2536,126.0,127,0.0,58.0
0,2537,86.0,85,0.0,44.0
0,2538,239.0,238,0.0,68.0
0,2539,147.0,147,0.0,58.0
0,2540,144.0,146,0.0,56.0
0,2541,179.0,179,0.0,58.0
0,2542,199.0,198,0.0,70.0
0,2543,118.0,119,0.0,58.0
0,2544,132.0,133,0.0,50.0
0,2545,120.0,120,0.0,56.0
